背番号,クラブ名,選手名,生年月日,JリーグID
55,モンテディオ山形,堀金　峻明,2002/12/25,1646525
88,モンテディオ山形,タリソン　アウベス,1999/3/2,1655877
1,いわきＦＣ,加藤　有輝,1997/9/20,1600156
2,いわきＦＣ,今野　息吹,2001/5/10,1635458
3,いわきＦＣ,遠藤　凌,1998/7/6,1632204
4,いわきＦＣ,堂鼻　起暉,1998/12/5,1602932
5,いわきＦＣ,桒田　大誠,2002/8/26,1643558
7,いわきＦＣ,中島　舜,2002/4/8,1631731
8,いわきＦＣ,柴田　壮介,2001/5/26,1618636
10,いわきＦＣ,西谷　亮,2004/1/10,1632534
11,いわきＦＣ,加藤　大晟,2002/9/6,1647674
13,いわきＦＣ,村上　陽斗,2002/7/17,1650540
14,いわきＦＣ,山口　大輝,1997/11/2,1630057
15,いわきＦＣ,中野　陽斗,2007/5/6,1654109
16,いわきＦＣ,荒木　仁翔,2007/8/2,1654117
19,いわきＦＣ,チョン　ソホ,2007/6/8,1655862
20,いわきＦＣ,大氏　凜州,2003/5/14,1648387
21,いわきＦＣ,松本　崚汰,2002/10/25,1641575
22,いわきＦＣ,高橋　勇利也,1999/3/24,1632246
23,いわきＦＣ,佐々木　雅士,2002/5/1,1622195
25,いわきＦＣ,坂本　光,2004/3/17,1651557
26,いわきＦＣ,坂元　一渚璃,2004/11/22,1640627
27,いわきＦＣ,山中　惇希,2001/5/6,1629443
28,いわきＦＣ,久永　瑠音,2004/3/4,1637011
29,いわきＦＣ,田中　幹大,2003/7/22,1641615
30,いわきＦＣ,木吹　翔太,2006/8/19,1641145
32,いわきＦＣ,オウイエ　ウイリアム,2004/4/19,1640653
33,いわきＦＣ,ヒョン　ウビン,2006/1/17,1648838
35,いわきＦＣ,深港　壮一郎,2000/8/12,1635685
38,いわきＦＣ,熊田　直紀,2004/8/2,1636789
39,いわきＦＣ,ジュ　ヒョンジン,2005/2/6,1645987
40,いわきＦＣ,永木　亮太,1988/6/4,1000646
41,いわきＦＣ,松本　琉雅,2004/9/30,1651946
1,栃木シティ,原田　欽庸,1986/5/17,500326
5,栃木シティ,奥井　諒,1990/3/7,1200003
6,栃木シティ,加藤　丈,1998/9/14,1607664
7,栃木シティ,森　俊貴,1997/8/29,1624511
8,栃木シティ,山下　敬大,1996/3/13,1503569
9,栃木シティ,鈴木　武蔵,1994/2/11,1200002
10,栃木シティ,岡庭　裕貴,1995/1/3,1607078
11,栃木シティ,表原　玄太,1996/2/28,1400112
13,栃木シティ,大嶌　貴,2000/10/18,1647155
14,栃木シティ,小竹　知恩,2006/4/14,1641490
15,栃木シティ,佐藤　喜生,1997/11/6,1629481
16,栃木シティ,児玉　潤,1997/9/8,1401627
17,栃木シティ,知念　哲矢,1997/11/8,1629487
18,栃木シティ,加藤　大,1991/5/7,1000105
19,栃木シティ,ダヴィド　モーベルグ,1994/3/20,1636321
20,栃木シティ,ペドロ　アウグスト,1997/3/3,1656595
21,栃木シティ,奥原　崇陽,2008/2/8,1655873
22,栃木シティ,鈴木　裕斗,2000/5/5,1627829
23,栃木シティ,吉田　篤志,1999/4/7,1647159
24,栃木シティ,西谷　和希,1993/10/5,1503334
26,栃木シティ,宇都木　峻,1996/9/21,1624572
28,栃木シティ,小西　慶太郎,2002/4/6,1635513
29,栃木シティ,齋藤　恵太,1993/3/31,1500447
31,栃木シティ,相澤　ピーターコアミ,2001/1/20,1617519
32,栃木シティ,小池　裕太,1996/11/6,1300960
33,栃木シティ,乾　貴哉,1996/5/12,1500461
41,栃木シティ,薩川　淳貴,1997/8/12,1629421
42,栃木シティ,マテイ　ヨニッチ,1991/1/29,1500834
44,栃木シティ,下田　栄祐,2004/5/5,1639209
77,栃木シティ,田中　パウロ淳一,1993/10/23,1200020
88,栃木シティ,升掛　友護,2003/8/24,1636253
99,栃木シティ,平岡　将豪,1995/5/12,1400225
1,ＲＢ大宮アルディージャ,笠原　昂史,1988/11/21,1000432
3,ＲＢ大宮アルディージャ,加藤　聖,2001/9/16,1629466
5,ＲＢ大宮アルディージャ,ガブリエウ,1995/3/14,1635019
6,ＲＢ大宮アルディージャ,石川　俊輝,1991/7/10,1400086
7,ＲＢ大宮アルディージャ,小島　幹敏,1996/9/17,1500460
8,ＲＢ大宮アルディージャ,カウアン　ディニース,2004/3/7,1656068
10,ＲＢ大宮アルディージャ,豊川　雄太,1994/9/9,1300051
11,ＲＢ大宮アルディージャ,カプリーニ,1997/11/11,1640494
13,ＲＢ大宮アルディージャ,イヨハ　理　ヘンリー,1998/6/23,1605020
14,ＲＢ大宮アルディージャ,泉　柊椰,2000/12/2,1633521
15,ＲＢ大宮アルディージャ,中山　昂大,2002/7/6,1641589
16,ＲＢ大宮アルディージャ,加藤　玄,2003/4/15,1636988
17,ＲＢ大宮アルディージャ,神田　泰斗,2008/5/7,1646951
19,ＲＢ大宮アルディージャ,尾崎　優成,2003/7/26,1630187
20,ＲＢ大宮アルディージャ,日髙　元,2007/11/13,1654127
22,ＲＢ大宮アルディージャ,茂木　力也,1996/9/27,1400734
23,ＲＢ大宮アルディージャ,杉本　健勇,1992/11/18,1000648
24,ＲＢ大宮アルディージャ,トム　グローバー,1997/12/24,1634951
25,ＲＢ大宮アルディージャ,熊田　佳斗,2009/9/5,1646947
27,ＲＢ大宮アルディージャ,松井　匠,2003/11/21,1652654
33,ＲＢ大宮アルディージャ,和田　拓也,1990/7/28,900054
34,ＲＢ大宮アルディージャ,村上　陽介,2002/2/4,1635347
37,ＲＢ大宮アルディージャ,関口　凱心,2001/9/24,1641667
40,ＲＢ大宮アルディージャ,志村　滉,1996/4/27,1500483
42,ＲＢ大宮アルディージャ,中島　大翔,2008/10/16,1646957
43,ＲＢ大宮アルディージャ,小林　柚希,2008/4/13,1651478
44,ＲＢ大宮アルディージャ,木寺　優直,2008/9/12,1646943
45,ＲＢ大宮アルディージャ,山本　桜大,2004/6/4,1639186
46,ＲＢ大宮アルディージャ,井芹　響輔,2009/4/29,1656022
47,ＲＢ大宮アルディージャ,エドワード　真秀,2008/7/21,1646958
48,ＲＢ大宮アルディージャ,磯﨑　麻玖,2006/5/26,1639207
49,ＲＢ大宮アルディージャ,マギー　ジェラニー　蓮,2008/12/24,1655847
50,ＲＢ大宮アルディージャ,若林　学歩,2004/3/10,1636291
88,ＲＢ大宮アルディージャ,西尾　隆矢,2001/5/16,1604177
90,ＲＢ大宮アルディージャ,オリオラ　サンデー,2003/4/18,1636322
3,横浜ＦＣ,鈴木　準弥,1996/1/7,1604775
5,横浜ＦＣ,細井　響,2003/10/31,1651453
7,横浜ＦＣ,山田　康太,1999/7/10,1604300
8,横浜ＦＣ,小倉　陽太,2001/5/3,1632788
9,横浜ＦＣ,ルキアン,1991/9/21,1502748
10,横浜ＦＣ,ジョアン　パウロ,1996/11/28,1647902
13,横浜ＦＣ,窪田　稜,2001/1/5,1624353
14,横浜ＦＣ,高塩　隼生,2004/6/3,1637144
16,横浜ＦＣ,伊藤　槙人,1992/10/18,1500814
17,横浜ＦＣ,室井　彗佑,2000/4/17,1637080
18,横浜ＦＣ,森　海渡,2000/6/7,1614204
19,横浜ＦＣ,杉田　隼,2004/1/9,1633003
20,横浜ＦＣ,村田　透馬,2000/7/22,1620759
21,横浜ＦＣ,市川　暉記,1998/10/19,1607128
22,横浜ＦＣ,岩武　克弥,1996/6/4,1400120
23,横浜ＦＣ,前田　勘太朗,2007/7/10,1646683
24,横浜ＦＣ,秦　樹,2007/5/1,1646782
25,横浜ＦＣ,向井　俊貴,2004/4/13,1652098
26,横浜ＦＣ,横山　暁之,1997/3/26,1629453
27,横浜ＦＣ,ヤクブ　スウォビィク,1991/8/31,1627462
28,横浜ＦＣ,熊倉　弘貴,2002/5/16,1641552
35,横浜ＦＣ,宇田　光史朗,2004/9/26,1640495
39,横浜ＦＣ,遠藤　貴成,2002/10/19,1637019
40,横浜ＦＣ,西方　瑛太郎,2010/2/15,1646775
42,横浜ＦＣ,石井　僚,2000/7/11,1619337
45,横浜ＦＣ,齋藤　翔,2009/2/23,1651709
46,横浜ＦＣ,福岡　湧大,2008/5/15,1646800
48,横浜ＦＣ,新保　海鈴,2002/8/16,1630110
49,横浜ＦＣ,駒沢　直哉,2002/5/17,1632808
50,横浜ＦＣ,山岸　克斗,2008/8/16,1646777
77,横浜ＦＣ,髙江　麗央,1998/6/27,1504489
78,横浜ＦＣ,岩崎　亮佑,2008/1/30,1646796
90,横浜ＦＣ,アダイウトン,1990/12/6,1500544
94,横浜ＦＣ,佐藤　颯真,2003/11/3,1644492
2,湘南ベルマーレ,松村　晟怜,2003/12/3,1636236
3,湘南ベルマーレ,袴田　裕太郎,1996/6/24,1624305
4,湘南ベルマーレ,舘　幸希,1997/12/14,1627405
5,湘南ベルマーレ,松本　大弥,2000/8/10,1618153
6,湘南ベルマーレ,武田　将平,1994/4/4,1604080
7,湘南ベルマーレ,小野瀬　康介,1993/4/22,1100892
8,湘南ベルマーレ,大野　和成,1989/8/4,800131
9,湘南ベルマーレ,ファビアン　ゴンザレス,1992/11/23,1632373
11,湘南ベルマーレ,小田　裕太郎,2001/8/12,1624682
13,湘南ベルマーレ,下口　稚葉,1998/5/2,1607220
14,湘南ベルマーレ,髙橋　直也,2001/5/28,1621195
15,湘南ベルマーレ,藤井　智也,1998/12/4,1629897
16,湘南ベルマーレ,アルトゥール　シルバ,1995/4/26,1624317
17,湘南ベルマーレ,田村　蒼生,2002/4/20,1631730
18,湘南ベルマーレ,池田　昌生,1999/7/8,1618074
20,湘南ベルマーレ,石橋　瀬凪,2006/4/22,1650536
21,湘南ベルマーレ,永井　建成,1995/7/7,1400117
22,湘南ベルマーレ,蓑田　広大,1999/8/10,1632429
23,湘南ベルマーレ,松本　果成,2007/1/19,1646763
25,湘南ベルマーレ,奥埜　博亮,1989/8/14,900449
27,湘南ベルマーレ,福島　隼斗,2000/4/26,1624300
28,湘南ベルマーレ,太田　修介,1996/2/23,1617898
29,湘南ベルマーレ,渡邊　啓吾,2002/8/25,1641624
30,湘南ベルマーレ,山口　豪太,2007/4/24,1644663
31,湘南ベルマーレ,真田　幸太,1999/4/21,1610980
32,湘南ベルマーレ,保田　成琉,2004/8/3,1652029
34,湘南ベルマーレ,山田　寛人,2000/3/7,1600514
35,湘南ベルマーレ,中村　龍,2008/7/11,1656123
36,湘南ベルマーレ,松村　秀明,2008/6/19,1656840
37,湘南ベルマーレ,鈴木　雄斗,1993/12/7,1100300
41,湘南ベルマーレ,岩瀬　陽,2003/10/15,1641616
50,湘南ベルマーレ,柴田　徹,2001/2/18,1632787
55,湘南ベルマーレ,岡庭　愁人,1999/9/16,1604990
77,湘南ベルマーレ,石井　久継,2005/7/7,1639214
86,湘南ベルマーレ,加瀬　直輝,2000/6/7,1633193
99,湘南ベルマーレ,上福元　直人,1989/11/17,1100893
1,ヴァンフォーレ甲府,河田　晃兵,1987/10/13,700958
2,ヴァンフォーレ甲府,井上　樹,2001/5/28,1605429
3,ヴァンフォーレ甲府,野澤　陸,1998/12/7,1632206
4,ヴァンフォーレ甲府,山本　英臣,1980/6/26,2890
5,ヴァンフォーレ甲府,一瀬　大寿,2002/9/27,1641148
6,ヴァンフォーレ甲府,小林　岩魚,1996/10/17,1624352
7,ヴァンフォーレ甲府,荒木　翔,1995/8/25,1611259
8,ヴァンフォーレ甲府,安田　虎士朗,2003/8/14,1627741
9,ヴァンフォーレ甲府,三平　和司,1988/1/13,800923
10,ヴァンフォーレ甲府,内藤　大和,2004/7/14,1635232
11,ヴァンフォーレ甲府,熊倉　弘達,2002/5/16,1641562
13,ヴァンフォーレ甲府,村上　千歩,2001/5/28,1644221
14,ヴァンフォーレ甲府,藤井　一志,2001/9/30,1641522
15,ヴァンフォーレ甲府,米陀　大洋,2003/4/6,1651267
16,ヴァンフォーレ甲府,林田　滉也,1999/7/14,1636290
17,ヴァンフォーレ甲府,福元　竣,2004/2/20,1655811
19,ヴァンフォーレ甲府,水野　颯太,2000/6/30,1635475
20,ヴァンフォーレ甲府,遠藤　光,2000/6/5,1640473
22,ヴァンフォーレ甲府,小出　悠太,1994/10/20,1607084
23,ヴァンフォーレ甲府,スタチオーリ　ミケーレ,2003/10/6,1655812
24,ヴァンフォーレ甲府,佐藤　恵介,2002/6/25,1631744
25,ヴァンフォーレ甲府,平塚　悠知,1996/4/13,1503289
26,ヴァンフォーレ甲府,佐藤　和弘,1990/9/28,1400227
27,ヴァンフォーレ甲府,武井　成豪,1998/4/15,1632418
29,ヴァンフォーレ甲府,大島　康樹,1996/5/30,1400847
31,ヴァンフォーレ甲府,イ　ミンギ,2003/3/13,1651430
32,ヴァンフォーレ甲府,太田　龍之介,2002/4/1,1635335
33,ヴァンフォーレ甲府,山内　康太,1999/11/5,1610021
44,ヴァンフォーレ甲府,福井　啓太,2002/5/19,1632757
47,ヴァンフォーレ甲府,保坂　知希,2006/5/25,1650542
95,ヴァンフォーレ甲府,メンデス,1995/4/25,1503923
96,ヴァンフォーレ甲府,黒川　淳史,1998/2/4,1501609
97,ヴァンフォーレ甲府,東　ジョン,2002/5/2,1632238
2,アルビレックス新潟,ジェイソン　ゲリア,1993/5/10,1400631
3,アルビレックス新潟,加藤　徹也,1996/3/13,1624569
5,アルビレックス新潟,舞行龍ジェームズ,1988/9/17,800193
7,アルビレックス新潟,大西　悠介,2001/5/20,1635508
8,アルビレックス新潟,白井　永地,1995/9/26,1400079
11,アルビレックス新潟,ダニーロ　ゴメス,1999/2/5,1640649
13,アルビレックス新潟,落合　陸,1999/5/23,1636525
14,アルビレックス新潟,古長谷　千博,2001/10/25,1645923
15,アルビレックス新潟,早川　史哉,1994/1/12,1100292
17,アルビレックス新潟,シマブク　カズヨシ,1999/7/29,1634153
18,アルビレックス新潟,若月　大和,2002/1/18,1624852
19,アルビレックス新潟,星　雄次,1992/7/27,1500624
21,アルビレックス新潟,田代　琉我,1998/8/27,1632220
22,アルビレックス新潟,新井　泰貴,1997/6/19,1629430
23,アルビレックス新潟,吉満　大介,1993/2/21,1500453
24,アルビレックス新潟,森　璃太,2001/8/19,1632802
25,アルビレックス新潟,藤原　奏哉,1995/9/9,1618095
26,アルビレックス新潟,佐藤　海宏,2007/2/26,1639211
28,アルビレックス新潟,島村　拓弥,1999/3/6,1607206
30,アルビレックス新潟,奥村　仁,2001/4/3,1645880
33,アルビレックス新潟,松岡　敏也,2007/9/28,1654646
34,アルビレックス新潟,藤原　優大,2002/6/29,1632222
38,アルビレックス新潟,森　昂大,1999/4/27,1633515
40,アルビレックス新潟,石山　青空,2006/1/27,1634114
41,アルビレックス新潟,松浦　大翔,2008/9/21,1655908
46,アルビレックス新潟,笠井　佳祐,2002/8/30,1635487
48,アルビレックス新潟,大竹　優心,2005/7/17,1643178
55,アルビレックス新潟,マテウス　モラエス,2000/4/22,1653072
64,アルビレックス新潟,バウマン,1996/4/10,1651282
71,アルビレックス新潟,内山　翔太,2006/11/9,1641153
77,アルビレックス新潟,舩木　翔,1998/4/13,1600516
99,アルビレックス新潟,小野　裕二,1992/12/22,1000649
1,カターレ富山,平尾　駿輝,2003/8/12,1636259
3,カターレ富山,香川　勇気,1992/7/2,1500528
5,カターレ富山,今瀬　淳也,1993/1/3,1500442
6,カターレ富山,瀬良　俊太,2001/10/11,1632743
7,カターレ富山,亀田　歩夢,2006/12/19,1646762
8,カターレ富山,松岡　大智,1999/1/23,1600515
9,カターレ富山,吉平　翼,1998/1/5,1500532
10,カターレ富山,松田　力,1991/7/24,1300592
11,カターレ富山,小川　慶治朗,1992/7/14,1000075
13,カターレ富山,深澤　壯太,2003/3/20,1647284
14,カターレ富山,谷本　駿介,2001/3/7,1605024
15,カターレ富山,坪井　清志郎,2000/2/1,1504434
16,カターレ富山,末木　裕也,1997/5/16,1624512
17,カターレ富山,湯之前　匡央,2003/12/30,1639690
18,カターレ富山,伊藤　拓巳,2000/7/29,1640647
19,カターレ富山,實藤　友紀,1989/1/19,1000491
20,カターレ富山,チョン　ウヨン,1989/12/14,1100158
21,カターレ富山,寺門　陸,2002/11/23,1622652
22,カターレ富山,椎名　伸志,1991/10/15,1400093
23,カターレ富山,西矢　慎平,2001/8/11,1645921
24,カターレ富山,丸山　嵩大,2004/8/16,1630135
25,カターレ富山,安光　将作,1999/11/2,1635442
26,カターレ富山,鍋田　純志,2000/1/2,1635489
28,カターレ富山,布施谷　翔,2000/9/21,1635502
30,カターレ富山,中島　裕希,1984/6/16,300119
31,カターレ富山,コ　ボンジョ,2002/2/15,1640477
32,カターレ富山,溝口　駿,2002/6/6,1637255
33,カターレ富山,髙橋　馨希,2001/6/16,1637072
34,カターレ富山,竹中　元汰,2003/1/25,1650796
39,カターレ富山,古川　真人,2001/11/14,1635514
40,カターレ富山,竹内　豊,2003/1/21,1639151
42,カターレ富山,キム　テウォン,2005/3/11,1651218
48,カターレ富山,植田　啓太,2002/9/3,1622197
56,カターレ富山,岡本　將成,2000/4/7,1618570
77,カターレ富山,香川　太朗,2004/7/14,1656013
99,カターレ富山,原田　岳,1998/5/22,1600306
1,ジュビロ磐田,川島　永嗣,1983/3/20,3892
2,ジュビロ磐田,川﨑　一輝,1997/11/8,1629422
3,ジュビロ磐田,森岡　陸,1998/11/20,1603078
4,ジュビロ磐田,松原　后,1996/8/30,1500481
5,ジュビロ磐田,江﨑　巧朗,2000/2/5,1633278
6,ジュビロ磐田,金子　大毅,1998/8/28,1600027
7,ジュビロ磐田,上原　力也,1996/8/25,1500485
8,ジュビロ磐田,為田　大貴,1993/8/24,1000647
9,ジュビロ磐田,渡邉　りょう,1996/10/25,1624402
11,ジュビロ磐田,マテウス　ペイショット,1995/11/16,1645964
13,ジュビロ磐田,阿部　航斗,1997/8/1,1611147
14,ジュビロ磐田,ポラメート　アーウィライ,1998/7/20,1645521
16,ジュビロ磐田,グスタボ　シルバ,1997/9/7,1652656
18,ジュビロ磐田,井上　潮音,1997/8/3,1501594
20,ジュビロ磐田,加藤　大育,1998/10/6,1640670
21,ジュビロ磐田,三浦　龍輝,1992/5/17,1000679
22,ジュビロ磐田,上夷　克典,1996/4/5,1624357
25,ジュビロ磐田,小池　直矢,2005/2/12,1643239
26,ジュビロ磐田,西久保　駿介,2003/7/30,1636240
27,ジュビロ磐田,佐藤　凌我,1999/2/20,1630219
28,ジュビロ磐田,西澤　翼,2002/8/29,1635482
29,ジュビロ磐田,桑原　航太,2004/7/28,1647379
30,ジュビロ磐田,山﨑　浩介,1995/12/30,1617907
33,ジュビロ磐田,川合　徳孟,2007/3/3,1641394
34,ジュビロ磐田,甲斐　佑蒼,2007/5/2,1651454
36,ジュビロ磐田,吉村　瑠晟,2003/7/2,1647013
38,ジュビロ磐田,川口　尚紀,1994/5/24,1200383
39,ジュビロ磐田,角　昂志郎,2002/8/13,1622188
42,ジュビロ磐田,石塚　蓮歩,2007/12/17,1651455
48,ジュビロ磐田,相田　勇樹,1998/8/3,1632207
50,ジュビロ磐田,植村　洋斗,2001/8/26,1632797
51,ジュビロ磐田,中島　佳太郎,2001/6/6,1642044
52,ジュビロ磐田,ヤン　ファンデンベルフ,1994/10/2,1652499
56,ジュビロ磐田,奥田　悠真,2008/5/6,1646578
57,ジュビロ磐田,小枝　朔太郎,2009/8/11,1652424
65,ジュビロ磐田,西岡　健斗,2008/7/14,1652423
66,ジュビロ磐田,増田　大空,2008/1/13,1651643
69,ジュビロ磐田,西野　陽向,2009/7/26,1652426
77,ジュビロ磐田,藤原　健介,2003/12/21,1634116
1,藤枝ＭＹＦＣ,田口　潤人,1996/9/28,1300443
2,藤枝ＭＹＦＣ,永野　修都,2006/4/15,1642030
3,藤枝ＭＹＦＣ,鈴木　翔太,1996/11/21,1624371
4,藤枝ＭＹＦＣ,中川　創,1999/6/1,1607371
5,藤枝ＭＹＦＣ,楠本　卓海,1995/12/10,1611199
6,藤枝ＭＹＦＣ,世瀬　啓人,1999/8/20,1601840
7,藤枝ＭＹＦＣ,松木　駿之介,1996/10/24,1618924
8,藤枝ＭＹＦＣ,浅倉　廉,2001/4/28,1635390
9,藤枝ＭＹＦＣ,矢村　健,1997/6/9,1619726
10,藤枝ＭＹＦＣ,菊井　悠介,1999/9/17,1633174
11,藤枝ＭＹＦＣ,真鍋　隼虎,2004/1/2,1636957
13,藤枝ＭＹＦＣ,中村　優斗,2003/10/9,1653374
14,藤枝ＭＹＦＣ,三木　仁太,2003/8/21,1647383
15,藤枝ＭＹＦＣ,杉田　真彦,1995/6/16,1627177
16,藤枝ＭＹＦＣ,森　侑里,2000/8/8,1632742
17,藤枝ＭＹＦＣ,岡澤　昂星,2003/10/22,1630179
18,藤枝ＭＹＦＣ,松下　佳貴,1994/3/3,1400650
19,藤枝ＭＹＦＣ,近藤　優成,2003/10/2,1644943
20,藤枝ＭＹＦＣ,久保　征一郎,2001/6/22,1621200
21,藤枝ＭＹＦＣ,ジョーンズ　レイ,2002/5/4,1629921
22,藤枝ＭＹＦＣ,久富　良輔,1991/3/19,1400122
23,藤枝ＭＹＦＣ,梶川　諒太,1989/4/17,1100800
24,藤枝ＭＹＦＣ,山﨑　絢心,2007/6/25,1655813
25,藤枝ＭＹＦＣ,中村　涼,2002/7/20,1648745
26,藤枝ＭＹＦＣ,河本　大雅,2006/7/23,1648099
28,藤枝ＭＹＦＣ,大森　彗斗,2003/1/4,1636995
29,藤枝ＭＹＦＣ,閑田　隼人,2002/8/1,1646981
30,藤枝ＭＹＦＣ,芹生　海翔,2006/2/22,1645868
31,藤枝ＭＹＦＣ,栗栖　汰志,2006/9/17,1646613
33,藤枝ＭＹＦＣ,川上　エドオジョン　智慧,1998/4/21,1605931
41,藤枝ＭＹＦＣ,北村　海　チディ,2000/9/17,1635656
48,藤枝ＭＹＦＣ,行友　祐翔,2007/2/6,1656729
50,藤枝ＭＹＦＣ,金子　翔太,1995/5/2,1300848
1,徳島ヴォルティス,永石　拓海,1996/2/16,1502857
3,徳島ヴォルティス,山田　奈央,2002/11/18,1622200
4,徳島ヴォルティス,カイケ,2001/5/30,1637301
5,徳島ヴォルティス,青木　駿人,2001/4/6,1641548
6,徳島ヴォルティス,鹿沼　直生,1997/12/7,1629500
7,徳島ヴォルティス,児玉　駿斗,1998/12/3,1618867
8,徳島ヴォルティス,岩尾　憲,1988/4/18,1100206
9,徳島ヴォルティス,トニー　アンデルソン,1997/12/27,1627515
10,徳島ヴォルティス,杉本　太郎,1996/2/12,1400037
11,徳島ヴォルティス,ルーカス　バルセロス,1998/7/19,1650557
14,徳島ヴォルティス,梶谷　政仁,2000/3/9,1635499
15,徳島ヴォルティス,山越　康平,1993/5/4,1600155
16,徳島ヴォルティス,渡　大生,1993/6/25,1200026
19,徳島ヴォルティス,宮崎　純真,2000/4/10,1624351
20,徳島ヴォルティス,松田　佳大,2000/5/17,1637076
21,徳島ヴォルティス,青木　心,2000/6/9,1601777
22,徳島ヴォルティス,柳澤　亘,1996/6/28,1503690
23,徳島ヴォルティス,髙田　優,2005/9/8,1645862
24,徳島ヴォルティス,髙田　颯也,2001/8/15,1629602
25,徳島ヴォルティス,鈴木　輪太朗　イブラヒーム,2003/1/31,1632261
26,徳島ヴォルティス,尾上　瑠聖,2006/7/21,1644016
27,徳島ヴォルティス,ローレンス　デイビッド,2006/4/25,1650556
28,徳島ヴォルティス,西坂　斗和,2004/6/24,1640628
29,徳島ヴォルティス,三井　大輝,2001/5/27,1624676
31,徳島ヴォルティス,長谷川　徹,1988/12/11,700735
42,徳島ヴォルティス,高木　友也,1998/5/23,1624508
44,徳島ヴォルティス,山口　竜弥,2000/2/9,1618148
55,徳島ヴォルティス,重廣　卓也,1995/5/5,1613552
69,徳島ヴォルティス,福田　武玖,2007/10/20,1646302
77,徳島ヴォルティス,ターレス,2001/6/29,1632283
97,徳島ヴォルティス,モヨ　マルコム強志,2001/6/3,1635448
1,ＦＣ今治,立川　小太郎,1997/1/4,1624398
2,ＦＣ今治,梅木　怜,2005/8/25,1642029
3,ＦＣ今治,孫　大河,1999/6/13,1633011
4,ＦＣ今治,市原　亮太,1998/5/25,1632428
5,ＦＣ今治,新井　光,1999/4/14,1610937
6,ＦＣ今治,梶浦　勇輝,2004/1/2,1631748
7,ＦＣ今治,山田　貴文,1992/4/19,1627434
8,ＦＣ今治,駒井　善成,1992/6/6,900646
9,ＦＣ今治,近藤　高虎,1997/9/28,1625628
10,ＦＣ今治,エジガル　ジュニオ,1991/5/6,1624388
11,ＦＣ今治,ウェズレイ　タンキ,1996/7/14,1647899
14,ＦＣ今治,森　晃太,1997/6/13,1600185
15,ＦＣ今治,ガブリエル　ゴメス,1999/8/23,1656000
16,ＦＣ今治,山本　透衣,2001/5/31,1624573
17,ＦＣ今治,持井　響太,1999/1/20,1630218
18,ＦＣ今治,伊藤　元太,2000/7/2,1624380
19,ＦＣ今治,古山　兼悟,2002/7/11,1644462
20,ＦＣ今治,ロドリゴ　ソウザ,2002/5/31,1656016
21,ＦＣ今治,山田　陽介,2003/9/3,1655864
23,ＦＣ今治,イ　ヨンジュン,2006/8/7,1650800
24,ＦＣ今治,竹内　悠力,2001/9/29,1645980
25,ＦＣ今治,佐藤　璃樹,2003/11/30,1636257
29,ＦＣ今治,丸山　大和,2003/12/11,1641570
30,ＦＣ今治,柴野　快仁,2007/8/1,1646454
33,ＦＣ今治,笹　修大,2006/8/31,1650534
34,ＦＣ今治,菊池　季汐,2003/9/29,1649608
36,ＦＣ今治,久保　恵音,2007/4/25,1655863
38,ＦＣ今治,馬越　晃,2005/7/13,1636847
44,ＦＣ今治,林　誠道,1996/4/4,1500500
71,ＦＣ今治,高木和　徹,1995/4/15,1400053
77,ＦＣ今治,加藤　潤也,1994/12/30,1607365
1,サガン鳥栖,泉森　涼太,1999/7/21,1636266
2,サガン鳥栖,松本　凪生,2001/9/4,1604179
3,サガン鳥栖,神山　京右,2000/1/2,1636279
4,サガン鳥栖,今津　佑太,1995/7/8,1503341
5,サガン鳥栖,長澤　シヴァタファリ,2001/12/12,1641665
6,サガン鳥栖,櫻井　辰徳,2002/7/26,1631675
7,サガン鳥栖,坂本　亘基,1999/1/19,1603086
8,サガン鳥栖,楢原　慶輝,2004/4/7,1636531
9,サガン鳥栖,ジョー,1999/2/21,1650798
12,サガン鳥栖,松原　颯汰,2002/9/30,1631676
13,サガン鳥栖,城定　幹大,2001/2/15,1624330
14,サガン鳥栖,堺屋　佳介,2005/5/7,1641500
15,サガン鳥栖,酒井　宣福,1992/11/9,1100169
16,サガン鳥栖,西澤　健太,1996/9/6,1611142
18,サガン鳥栖,玄　理吾,2003/12/30,1636308
19,サガン鳥栖,鈴木　大馳,2006/11/8,1641501
20,サガン鳥栖,豊田　歩,2000/11/25,1640604
22,サガン鳥栖,弓場　堅真,2000/10/12,1635506
23,サガン鳥栖,北島　郁哉,2005/11/20,1645954
26,サガン鳥栖,安藤　寿岐,2003/10/14,1632424
29,サガン鳥栖,田中　雄大,1999/12/14,1600005
33,サガン鳥栖,小川　大空,1999/10/18,1635316
34,サガン鳥栖,黒木　雄也,2007/12/4,1646292
35,サガン鳥栖,内山　圭,1993/7/19,1000660
36,サガン鳥栖,池田　季礼,2007/7/29,1652434
37,サガン鳥栖,森下　怜哉,1998/11/1,1600518
38,サガン鳥栖,水巻　時飛,2007/6/14,1655804
41,サガン鳥栖,松岡　響祈,2005/2/2,1656002
42,サガン鳥栖,合戸　晴矢,2004/5/8,1656023
43,サガン鳥栖,芳野　凱斗,2005/3/30,1656596
46,サガン鳥栖,エジケ　唯吹ヴィンセント,2008/12/31,1648397
47,サガン鳥栖,伊澤　璃来,2009/7/29,1656020
76,サガン鳥栖,磯谷　駿,2002/7/30,1648377
77,サガン鳥栖,ヴィキンタス　スリヴカ,1995/4/29,1647905
88,サガン鳥栖,塩浜　遼,2000/5/7,1632767
